date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273484/pse-index-sinks-to-7600-level-on-us-china-talks/,HP,0,0,27,27,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/banking-finance/2020/01/16/273697/peso-declines-further-vs-dollar-despite-signing-of-us-china-deal/,H,0,1,7,8,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/banking-finance/2020/01/16/273697/peso-declines-further-vs-dollar-despite-signing-of-us-china-deal/,F,3,5,201,209,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/banking-finance/2020/01/16/273697/peso-declines-further-vs-dollar-despite-signing-of-us-china-deal/,HP,1,2,24,27,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273490/tdf-yields-decline-despite-lower-demand/,H,0,0,6,6,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273490/tdf-yields-decline-despite-lower-demand/,F,2,4,325,331,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273490/tdf-yields-decline-despite-lower-demand/,HP,0,0,24,24,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273624/remittance-growth-slows-in-nov/,H,0,0,4,4,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273624/remittance-growth-slows-in-nov/,F,6,8,354,368,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273624/remittance-growth-slows-in-nov/,HP,0,0,21,21,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273683/shares-extend-decline-following-us-china-deal/,H,0,0,6,6,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273683/shares-extend-decline-following-us-china-deal/,F,3,7,231,241,auto,Correa
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273683/shares-extend-decline-following-us-china-deal/,HP,0,1,26,27,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273861/local-stocks-recover-on-positive-foreign-news/,H,2,0,4,6,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273861/local-stocks-recover-on-positive-foreign-news/,F,15,0,168,183,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273861/local-stocks-recover-on-positive-foreign-news/,HP,4,0,10,14,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273866/peso-weakens-slightly-on-lack-of-clarity-from-us-china-trade-deal/,H,0,0,8,8,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273866/peso-weakens-slightly-on-lack-of-clarity-from-us-china-trade-deal/,F,1,4,218,223,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273866/peso-weakens-slightly-on-lack-of-clarity-from-us-china-trade-deal/,HP,0,1,23,24,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273875/bsps-diokno-dismisses-banking-sector-risk-from-pogos/,H,0,0,7,7,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273875/bsps-diokno-dismisses-banking-sector-risk-from-pogos/,F,1,2,254,257,auto,Correa
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273875/bsps-diokno-dismisses-banking-sector-risk-from-pogos/,HP,0,0,27,27,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/273980/central-bank-to-adjust-tdf-offers-as-demand-wanes-issue-own-debt/,H,0,0,9,9,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/273980/central-bank-to-adjust-tdf-offers-as-demand-wanes-issue-own-debt/,F,1,0,227,228,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/273980/central-bank-to-adjust-tdf-offers-as-demand-wanes-issue-own-debt/,HP,0,0,40,40,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/274199/peso-weakens-on-worries-over-middle-east-tensions/,H,0,1,5,6,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/274199/peso-weakens-on-worries-over-middle-east-tensions/,F,1,7,179,187,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/banking-finance/2020/01/20/274199/peso-weakens-on-worries-over-middle-east-tensions/,HP,0,4,18,22,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273954/shares-to-trade-sideways-ahead-of-q4-gdp-data/,H,0,0,6,6,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273954/shares-to-trade-sideways-ahead-of-q4-gdp-data/,F,7,4,232,243,auto,Correa
