dictionary,dv,segment,lag_k,add_ar1,beta,se_hac_q4,t,p,const,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,N
Correa,d_vix_log,HP_L,0,False,-0.010012216714372415,0.01340227057020498,-0.7470537668916263,0.45503110624281284,0.014110577894440405,0.006934848319513298,-0.007669050969905555,70,2020-01-03,2020-04-17,4,3,0.19443949494325294,0.07361800869055245,70
Correa,d_vix_log,HP_L,1,False,0.012764795642709829,0.012068391020289285,1.0577048441047157,0.29019002612202016,0.014713018034806596,0.01035894816256866,-0.004194596717393528,70,2020-01-03,2020-04-17,4,3,0.1541652406553721,0.07753064745549111,70
Correa,d_vix_log,H_L,0,False,-0.011612619872489165,0.011667011577706981,-0.9953379916651711,0.3195719059824037,0.014014618011282074,0.0091556897278543,-0.0054155501290888974,70,2020-01-03,2020-04-17,4,3,0.1785416708016779,0.05896367669396815,70
Correa,d_vix_log,H_L,1,False,0.013670340372688715,0.011367967420790302,1.2025316282739973,0.22915761964477144,0.014508159159281992,0.011417627939444674,-0.0031203481202692895,70,2020-01-03,2020-04-17,4,3,0.1578674396334138,0.069661513600613,70
Correa,d_vix_log,F_L,0,True,-0.028927396654589425,0.01905037902616203,-1.5184683000198165,0.12889638500848538,0.016898694577961913,0.08366598518672386,0.05457601646249277,66,2020-01-06,2020-04-17,4,3,0.8745276267120393,0.6015421233013816,66
Correa,d_vix_log,F_L,1,True,-0.010197334315623316,0.018453521455366943,-0.5525955758789641,0.5805403721028648,0.017525469421058634,0.04490969646018328,0.014589369363681048,66,2020-01-06,2020-04-17,4,3,0.702886760992726,0.5955973940433206,66
Correa,d_vix_log,HP_L,0,True,-0.01975125553457168,0.015905268673591214,-1.2418058405618928,0.21430820730055,0.018756932269288394,0.06404697833921524,0.03433418400077748,66,2020-01-06,2020-04-17,4,3,0.6787768711138957,0.5836073457971609,66
Correa,d_vix_log,HP_L,1,True,0.011182729887464965,0.013081984054568657,0.8548191039538525,0.39265130044811203,0.01866465517068068,0.047961382229083194,0.017737934045879422,66,2020-01-06,2020-04-17,4,3,0.3122632447552577,0.2716039251022478,66
Correa,d_vix_log,H_L,0,True,-0.017831701951540633,0.014346381630622955,-1.2429407226612539,0.21388967794238734,0.018340875749205197,0.06019977359086992,0.03036484576835774,66,2020-01-06,2020-04-17,4,3,0.5684477422956966,0.47376203432890696,66
Correa,d_vix_log,H_L,1,True,0.012253374699527487,0.012388292694454168,0.9891092341572556,0.32260970015000323,0.018808887729603943,0.049018654716460275,0.01882877073920497,66,2020-01-06,2020-04-17,4,3,0.3643259348654811,0.308915695782758,66
