date,psei_ret,fx_ret,d_psei_10d_vol_log,d_psei_30d_vol_log,d_vix_log,cds_logdiff,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP,dictionary,z_H,z_F,z_HP,z_H_L,z_F_L,z_HP_L
2020-04-03,0.000871902,-0.002598734,-0.014066959,-0.002803085,-0.084176165,0.053357492,-0.00952381,-0.017898833,-0.009677419,-0.009259259,-0.017884914,-0.009584665,15,105,3855,310,Correa,0.531065253,-0.641895785,0.376783028,0.528832318,-0.643713918,0.376905389
2020-04-06,0.041010427,0.000177401,0.030584517,0.022344972,-0.033901552,-0.122468848,-0.078947368,-0.015930485,-0.04109589,-0.073170732,-0.015895954,-0.040268456,6,38,1381,146,Correa,-1.053065653,-0.418244734,-0.770037817,-1.056593716,-0.417248031,-0.777429963
2020-04-07,0.014117383,-0.000966231,-0.072875686,0.004655629,0.031762513,-0.064608114,-0.02,-0.01066961,-0.007042254,-0.018867925,-0.010657846,-0.006896552,9,50,2718,142,Correa,0.292015904,0.179515531,0.472970463,0.290474031,0.179170587,0.478033175
2020-04-08,-0.024942785,-0.001678333,-0.22016391,0,-0.074437461,-0.001063926,-0.06779661,-0.011945929,-0.024271845,-0.064516129,-0.011934673,-0.023923445,10,59,3181,206,Correa,-0.798623776,0.0344954,-0.155935192,-0.841902483,0.033789202,-0.162524718
2020-04-09,,,,,-0.039525258,-0.112226238,-0.058823529,-0.01512214,-0.031914894,-0.055555556,-0.01510457,-0.030927835,9,51,2579,94,Correa,-0.593872891,-0.326397556,-0.43491783,-0.619621177,-0.327139894,-0.426032411
2020-04-10,,,,,,0.076216336,0,-0.014616322,0,0,-0.014563107,0,3,20,821,38,Correa,0.748382864,-0.268924626,0.730023191,0.758523007,-0.265488127,0.737483964
2020-04-13,,,,,,-0.14322738,-0.033613445,-0.009452127,-0.015384615,-0.032786885,-0.009447166,-0.015283843,19,119,5713,455,Correa,-0.018620421,0.317850496,0.168461899,-0.054807974,0.317020378,0.162500244
2020-04-14,0.029830355,0.000335799,-0.106767975,0.009540757,-0.086459495,-0.059726997,-0.021978022,-0.008856906,-0.014084507,-0.021276596,-0.008849558,-0.013937282,13,91,3613,284,Correa,0.24688071,0.385481729,0.215917772,0.230723105,0.385064897,0.213158358
2020-04-15,0.028171554,-0.000474102,-0.042878097,0.006085623,0.078411652,0.0810742,0,-0.004728132,-0.009478673,0,-0.004723347,-0.009345794,10,68,2961,211,Correa,0.748382864,0.85460845,0.384037552,0.758523007,0.854881301,0.385891802
2020-04-16,-0.073335101,0.003373084,0.51604573,0.03705598,-0.018036314,0.007381491,0,-0.004073873,-0.008287293,0,-0.004070556,-0.008219178,16,108,3682,362,Correa,0.748382864,0.928947801,0.427524691,0.758523007,0.929209037,0.428275505
2020-04-17,0.046734737,0.002497813,0.064066753,0.020446928,-0.050099922,-0.033437134,-0.026315789,-0.014592019,-0.016528926,-0.025316456,-0.014578994,-0.016326531,10,76,3358,242,Correa,0.147900033,-0.266163228,0.126692849,0.130507934,-0.267297044,0.123273943
