dictionary,dv,segment,lag_k,family,add_ar1,beta,se_hac_q4,t,p,q_bh,reject_bh,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,m_tests,alpha_bh,N,const
LM,d_psei_10d_vol_log,H_L,0,diagnostic_k0,False,0.029351549119797343,0.022678939035355446,1.2942205574096566,0.19558924789204668,0.19558924789204668,False,0.03462660480664381,0.01954264550674767,66,2020-01-03,2020-04-17,4,3,0.9868782434778407,0.7557772021289358,1.0,0.05,66,0.00872273977006403
LM,d_psei_30d_vol_log,F_L,1,prediction_k1_5,True,-0.004859270771040605,0.005347241129305542,-0.9087435283981087,0.36348552165059955,0.6430002812060046,False,0.009855094254032415,-0.025507223808323598,59,2020-01-08,2020-04-17,4,3,0.15774101633903279,0.5581216338902368,15.0,0.05,59,0.021861498372481067
LM,d_psei_30d_vol_log,F_L,2,prediction_k1_5,True,-0.003701291504570808,0.006164351011574081,-0.6004349034669385,0.5482164322517253,0.6852705403146566,False,0.00783933400607828,-0.02759497549370482,59,2020-01-08,2020-04-17,4,3,0.16792871768539494,0.5984188290843117,15.0,0.05,59,0.021545186532381785
LM,d_psei_30d_vol_log,F_L,3,prediction_k1_5,True,-0.010395230643628711,0.010146691157683014,-1.024494633973116,0.30560170407037746,0.6430002812060046,False,0.03622128044420869,0.0018006118886446654,59,2020-01-08,2020-04-17,4,3,0.21676044648328743,0.5852076148807863,15.0,0.05,59,0.021815176659280584
LM,d_psei_30d_vol_log,F_L,4,prediction_k1_5,True,-0.00724332461000634,0.00915167823491452,-0.7914750086352873,0.4286668541373364,0.6430002812060046,False,0.018894267740545034,-0.016145222697292683,59,2020-01-08,2020-04-17,4,3,0.2140407611006946,0.633901984691183,15.0,0.05,59,0.021805326792499476
LM,d_psei_30d_vol_log,F_L,5,prediction_k1_5,True,-0.008407349828858284,0.004479182229458183,-1.8769832076859405,0.06052039540921114,0.5643107013787539,False,0.025992045044226697,-0.008793953347050909,59,2020-01-08,2020-04-17,4,3,0.2114747423802619,0.6691176830992395,15.0,0.05,59,0.022067310769445358
LM,d_psei_30d_vol_log,HP_L,1,prediction_k1_5,True,0.011534003974419713,0.011560395935490858,0.9977170365774306,0.31841658962117747,0.6430002812060046,False,0.03959082176791262,0.00529049397390946,59,2020-01-08,2020-04-17,4,3,0.21160997764307443,0.6320023005513236,15.0,0.05,59,0.021250348392302623
LM,d_psei_30d_vol_log,HP_L,2,prediction_k1_5,True,0.0009578462082063569,0.003181580415268089,0.30105987691203656,0.7633688360078702,0.7867038151568988,False,0.004327332116361937,-0.031232406022339454,59,2020-01-08,2020-04-17,4,3,0.12521585111863884,0.5031041048944369,15.0,0.05,59,0.02167283225164339
LM,d_psei_30d_vol_log,HP_L,3,prediction_k1_5,True,-0.005148873979172958,0.0072780366808772685,-0.7074537000756543,0.4792845756189317,0.6535698758439978,False,0.01265521900958999,-0.022607094597210553,59,2020-01-08,2020-04-17,4,3,0.12379205725266117,0.5228830604788614,15.0,0.05,59,0.02151689200627924
LM,d_psei_30d_vol_log,HP_L,4,prediction_k1_5,True,0.005947893230842929,0.0042853468481774785,1.3879607512685974,0.16514899692672036,0.6430002812060046,False,0.014670065255071862,-0.020520289557247162,59,2020-01-08,2020-04-17,4,3,0.10088156901193322,0.4350408832512419,15.0,0.05,59,0.021774232566707897
