dictionary,dv,segment,direction,maxlag,N,ssr_ftest_F,ssr_ftest_p,predictor,response
Correa,d_vix_log,HP_L,Z→DV,4,70,1.1532924633900383,0.3410515375046652,,
Correa,d_vix_log,HP_L,Z→DV,5,70,0.9209087965882828,0.47463755295319143,,
Correa,d_vix_log,H_L,Z→DV,1,70,0.559408622474813,0.45715544524758056,,
Correa,d_vix_log,H_L,Z→DV,2,70,0.9852890332018354,0.37900966581346374,,
Correa,d_vix_log,H_L,Z→DV,3,70,0.5647216230235115,0.6403893603396511,,
Correa,d_vix_log,H_L,Z→DV,4,70,0.5181747978220128,0.7226638072153546,,
Correa,d_vix_log,H_L,Z→DV,5,70,0.5677070713849312,0.7243049544080026,,
Correa,d_vix_log,F_L,DV→Z,1,70,6.241162342122105,0.014980312393416127,,
Correa,d_vix_log,F_L,DV→Z,2,70,4.215432469008003,0.01913467882083779,,
Correa,d_vix_log,F_L,DV→Z,3,70,4.312794505328286,0.008057198606413097,,
Correa,d_vix_log,F_L,DV→Z,4,70,3.5379329291901405,0.011999860991676197,,
Correa,d_vix_log,F_L,DV→Z,5,70,3.0734911517430024,0.016341418421050902,,
Correa,d_vix_log,HP_L,DV→Z,1,70,7.832109139879247,0.006721808480967616,,
Correa,d_vix_log,HP_L,DV→Z,2,70,3.7896545720969326,0.02791830920263076,,
Correa,d_vix_log,HP_L,DV→Z,3,70,3.1205933992683685,0.032501503700465104,,
Correa,d_vix_log,HP_L,DV→Z,4,70,2.285420966008607,0.07120913469426818,,
Correa,d_vix_log,HP_L,DV→Z,5,70,1.7292877393788146,0.1436018553828279,,
Correa,d_vix_log,H_L,DV→Z,1,70,4.271606837497493,0.042681037354813704,,
Correa,d_vix_log,H_L,DV→Z,2,70,2.2796887309102134,0.11069542659583877,,
Correa,d_vix_log,H_L,DV→Z,3,70,2.5511584134136402,0.0639921031733974,,
Correa,d_vix_log,H_L,DV→Z,4,70,1.6580927964293184,0.17236815819584378,,
Correa,d_vix_log,H_L,DV→Z,5,70,1.2903540580580433,0.28169373281249566,,
